Per Capita Personal Income by County (Dollars)																		
Series ID	Region Name	Region Code	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
PCPI20003	Anderson County, KS	20003	22881	23297	24085	24856	27172	30154	32414	31883	30566	34405	36459	39080	39105	38168	39929	37848
PCPI29003	Andrew County, MO	29003	25684	26086	28383	28902	30596	33196	36164	36131	35468	37418	38045	39674	40631	41349	41817	42782
PCPI48003	Andrews County, TX	48003	22986	24899	26461	29150	32818	34910	39946	34088	36393	42710	48120	50233	54259	45836	40850	43105
PCPI23001	Androscoggin County, ME	23001	27562	28569	29147	29604	30860	32272	33449	33609	33973	34983	35559	35364	36357	37876	38372	39873
PCPI48005	Angelina County, TX	48005	24249	24985	25737	26733	28170	29737	31285	30494	31315	33272	35214	34744	37273	38133	37485	37555
PCPI24003	Anne Arundel County, MD	24003	41688	43451	45666	47646	50276	52005	53080	51774	52832	55607	56962	57060	58960	61288	62609	64648
PCPI27003	Anoka County, MN	27003	32416	33568	34884	34862	35911	37562	38683	37446	38235	40479	41880	42240	44340	46273	47252	48687
PCPI37007	Anson County, NC	37007	21565	21760	23099	23843	25143	26601	26546	25701	26715	27147	28307	28651	30593	31972	31801	33379
PCPI31003	Antelope County, NE	31003	24797	30185	30857	31252	28795	34701	36078	36275	40469	53937	51887	53492	53828	52348	50199	52682
PCPI26009	Antrim County, MI	26009	25518	25719	26164	27205	27946	29348	30529	30160	31791	33775	35726	37250	39424	41718	42870	43615
PCPI04001	Apache County, AZ	04001	17326	18355	19384	20732	21325	22695	24746	26361	26995	27506	27487	27956	29458	30765	31385	32845
PCPI19007	Appanoose County, IA	19007	22380	22757	24483	24327	25747	26637	28871	29436	29790	31325	32470	33208	33161	35040	35668	36161
PCPI13001	Appling County, GA	13001	19539	20463	21123	22017	22188	23144	24002	24720	25298	27198	27795	28104	28870	30384	30731	31731
PCPI51011	Appomattox County, VA	51011	24717	25580	26333	27516	28272	29554	30664	31051	30723	31779	31728	32361	33666	35549	35911	36663
PCPI48007	Aransas County, TX	48007	25045	25659	27534	29574	31858	33884	35826	35188	37509	40338	44309	45257	46502	47251	43825	44820
PCPI08005	Arapahoe County, CO	08005	40973	41292	40580	41650	44773	46253	43366	39604	40816	46707	48431	49731	53297	54476	55116	56642
PCPI48009	Archer County, TX	48009	28445	28941	29151	29867	33215	35266	39847	37143	38980	42338	45627	47679	49893	46335	46335	47110
PCPI08007	Archuleta County, CO	08007	25270	24943	24335	26387	28733	30210	31172	29484	30305	32074	33416	34224	37854	39457	40153	39944
PCPI26011	Arenac County, MI	26011	21370	22025	22435	22757	23178	24416	26790	26893	28175	29563	30543	30686	32061	33369	34941	36296
PCPI05001	Arkansas County, AR	05001	23707	27359	29206	27132	28994	30661	33210	34283	34071	36445	38276	41706	41252	40679	43275	43376
PCPI51013	Arlington County, VA	51013	56927	60358	64338	68803	73439	76659	77790	74356	79415	82444	84229	79569	83612	86517	87268	89487
PCPI48011	Armstrong County, TX	48011	29455	33000	34560	35084	36051	40825	39414	36937	40176	38725	37206	42665	43644	44196	45859	45262
PCPI42005	Armstrong County, PA	42005	25282	26344	26821	28728	31087	32266	36818	34138	35686	39133	38910	39083	40704	40020	40171	41756
PCPI23003	Aroostook County, ME	23003	24712	25665	26640	28194	29150	30240	31314	32398	33126	34160	34882	34606	35614	36835	37784	39377
PCPI31005	Arthur County, NE	31005	22905	27253	27598	27888	27780	27225	26965	26029	28260	37496	25572	31119	46440	56927	41247	43247
PCPI22005	Ascension Parish, LA	22005	25142	25585	27265	30721	33307	35844	39015	38661	39640	41019	42540	43102	44882	46666	46679	47679
PCPI37009	Ashe County, NC	37009	23438	23494	24360	24879	26151	27357	28271	28633	28875	29488	31097	31040	32112	33447	34389	35707
PCPI39005	Ashland County, OH	39005	24245	24890	25721	26487	27037	28387	29409	28638	29404	31363	31855	33107	34451	35431	35487	36857
PCPI55003	Ashland County, WI	55003	23902	24567	26166	26917	27845	28042	29438	30404	30837	32437	34261	34542	35316	36760	37712	39621
